Index,Name,City,State,Phone Number
170,Al Di Meola ,Riverside, California,7 - 553 -- 906-33*- 7- 6
171,Al Franken,Austin, Texas,13- 8- 7-  - 7-   1134
173,Al Green,Omaha, Nebraska,696- 513-3
174,Al Gross,Chandler, Arizona,38- 7- - - 7- 15-- 7- 891
175,Al Hibbler,Chesapeake, Virginia,535- 251-2895
176,Al Hirschfeld,Columbus, Ohio,9- 7- - 7- - - 7- 19-028678
177,Al Jardine,Honolulu, Hawaii,-522(787)01 - 1
178,Al Jolson,Santa Ana, California,7 - 254- 6- 7- 6-5550
179,Al Kasha,San Diego, California,43- - 7- 33*-3936
180,Al Kooper ,Tulsa, Oklahoma,532- 919-821
182,Al Lewis,Long Beach, California,695- 368-5449
183,Al McKay,St. Paul, Minnesota,35- 7- - 423-6262
184,Al Michaels,Seattle, Washington,888- 292-556078
185,Al Neiman,Phoenix, Arizona,7352- 604-8294 * 78
186,Al Pacino,Atlanta, Georgia,7 - 929- 5- 7- 3-  1-  1-86
187,Al Pitrelli,Fresno, California,7 * -321987 - 01 - 1.4
188,Al Rosen,Tampa, Florida,894- 652-- 7- 31
189,Al Schnier,Garland, Texas,7 * -1533*87 - 01 - 1.4
190,Al Stewart ,Austin, Texas,946- - 7- 10-33*02
191,Al Waxman,Fort Worth, Texas,32  1-- 609-95  1-  1-
192,Alain Caron,Hialeah, Florida,908 --5- 7- 8-852978
193,Alain Chabat,Madison, Wisconsin,7843 -- 425-1901 * 78
194,Alain Johannes,Lincoln, Nebraska,7 * -33*2287 - 01 - 1.4
195,Alain Resnais,New York City, New York,12- - 7- 88-916- 7- 
196,Alain Rieder,Fort Wayne, Indiana,8*40 -- 9- 7- 6-060
197,Alan Arkin,El Paso, Texas,29 - 7-    809-- 7- 
198,Alan Autry,Irving, Texas,843- 311-4602
199,Alan Berg,Tucson, Arizona,5- 7- 3- 488-45  1-0
200,Alan Bergman,Dallas, Texas,651 -- 956-511278
201,Alan Brinkley,San Bernardino, California,7 * -173087 - 01 - 1.4
202,Alan Colmes,Atlanta, Georgia,7 - 815- 265-8699
203,Alan Davey ,Henderson, Nevada,3*4- 3- 7- 6-6159
204,Alan Dershowitz,Glendale, Arizona,943- 394-012
205,Alan Emslie,Detroit, Michigan,*402- 856-- 7- 
206,Alan Feinberg,Fort Wayne, Indiana,6*40- *405-8396
207,Alan Freed,Chula Vista, California,991- 685-8860
208,Alan Gelfand,Oakland, California,309 -- - 7- 45-96.6278
209,Alan Greenspan,Newark, New Jersey,7436- 8- 7- - 7- -23-  1-2 * 78
210,Alan Guth,Portland, Oregon,7 - 2- 7- 6- 6.63-- 7- 38  1-
211,Alan Heeger,Durham, North Carolina,88- 256-45- 7- - 7- 
212,Alan J. Pakula,Omaha, Nebraska,2  1-2- 6.6- 7- -300
213,Alan J. Perlis,Fort Worth, Texas,908- *406-3
214,Alan Jackson,Wichita, Kansas,6.60 -- 8- 7- 0-8483
215,Alan Jackson ,Milwaukee, Wisconsin,883- 2- 7- - 7- -235- 7- 
216,Alan Jay Lerner,Tampa, Florida,56.6- - 7- 52-982178
217,Alan Keyes,Milwaukee, Wisconsin,7914- 623-- 7- 938 * 78
218,Alan King,San Diego, California,7 - 80- 7- - 90  1--3  1-36
219,Alan Lancaster ,Oklahoma , Oklahoma,85- - 7- 94-2461
220,Alan Longmuir ,St. Petersburg, Florida,626- 822-929
221,Alan Menken,Fort Wayne, Indiana,312- 614-9
222,Alan Miller,Oklahoma , Oklahoma,901- 801-2646
223,Alan Moore,Washington, DC,544- 386-6415
224,Alan Oppenheimer,Anchorage municipality, Alaska,684- 441-183878
225,Alan Paul,Denver, Colorado,7828- 4- 7- 9-9023- * 78
226,Alan Price ,Irving, Texas,7 - 809- 426-5063
227,Alan Rickman,Tucson, Arizona,19 -- 98- 7- -5291
228,Alan Scott,Winston-Salem, North Carolina,884- 985-222
229,Alan Sherman,Plano, Texas,501 -- 3- 7- 3-8
230,Alan Sokal,Lubbock, Texas,533*- 641-2- 7- 8- 7- 
231,Alan Turing,Buffalo, New York,7 * -358087 - 01 - 1.4
232,Alan White,Nashville-Davidson, Tennessee,605- 510-01- 7- 478
233,Alan Wilson,Washington, DC,79- 7- 3- 443-8504 * 78
234,Alanis Morissette,Phoenix, Arizona,7 - 246 -- 348-8052
236,Albe Bonacci,Seattle, Washington,884 -- 33*4-34- 7- 
237,Albert Abraham Michelson,Hialeah, Florida,496- 532-0- 7- 
238,Albert Axelrod,North Las Vegas, Nevada,93  1-- 90- 7- -369  1-
239,Albert Bernstein,Norfolk, Virginia,804- 2*40-28- 7- 4
240,Albert Brooks,Atlanta, Georgia,609- 380-353178
241,Albert Collins ,Santa Ana, California,7994- 439-9922 * 78
242,Albert De Salvo ,Detroit, Michigan,7 - 522- 642-4984
243,Albert Einstein,Virginia Beach, Virginia,48- 905-0955
244,Albert Fish:,San Antonio, Texas,7 * -877387 - 01 - 1.4
245,Albert Goldbarth,Anaheim, California,8- 7- 2- 420-0
246,Albert Hammond ,Albuquerque, New Mexico,245- 586-2- 7- 60
247,Albert Kahn,Baltimore, Maryland,908- 606-1658
248,Albert King,Omaha, Nebraska,95- 7- - 930-194678
249,Albert Lasker,Chula Vista, California,733*- 7- - 33*2-8544 * 78
250,Albert Lee ,Arlington, Texas,7 * -825987 - 01 - 1.4
251,Albert Libchaber,Buffalo, New York,52- 6.60-2151
252,Albert Michelson,Laredo, Texas,804- 3- 7- 0-0- 7- 9
253,Albert Pujols,Orlando, Florida,*406- - 7- 48-3
254,Albert S. Bregman,Las Vegas, Nevada,3- 7- 4 -- 529-3955
255,Albert Sabin,Colorado Springs, Colorado,28- 7-  -- 4- 7- 8-2953
256,Albert Schatz,Fresno, California,948- 4- 7- 2-613078
257,Albert Von Tilzer,Jacksonville, Florida,733*8 -- 33*2-95- 7- - 7-  * 78
258,Alberto Moravia,Greensboro, North Carolina,7 - 955- 6- 7- 2-1398
259,Alberto Ponce ,Tulsa, Oklahoma,49- 930-- 7- 86.6
260,Albus Dumbledore,Long Beach, California,895- 210-884
261,Aldo Romano,Arlington, Texas,6- 7- 9- - 7- 11-555- 
262,Alec Baillie,Memphis, Tennessee,984 -- 209-8558
263,Alec Baldwin,Norfolk, Virginia,981 -- 33*8-2588
264,Alec Templeton,Irving, Texas,648- 2- 7- 0-885878
265,Alejandro Jodorowsky,Arlington, Texas,7508- - 7- 98-2026 * 78
266,Aleksander Sergeyevich Pushkin,Indianapolis, Indiana,7 - 396- - 7- 36-0303
267,Alessandra Belloni,Honolulu, Hawaii,39- 449-123- 7- 
268,Alessandra Gambini,Austin, Texas,98- 7- - 24- 7- -413
269,Alessandro Casci,Las Vegas, Nevada,656- 206-0- 7- 
270,Alessandro Del Piero,Laredo, Texas,904- 908-4- 7- - 7- 9
271,Alessandro Fabbri ,Milwaukee, Wisconsin,289- 52- 7- -3568
272,Alessandro Nesta ,Newark, New Jersey,342 -- 612-183- 7- 78
273,Alessandro Vanzini,Winston-Salem, North Carolina,7 * 308587 - 01 - 1.4
274,Alessia Mattalia,Louisville/Jefferson, Kentucky,7 - 425- 614-3124
275,Alex Acuña,Toledo, Ohio,7 * -323087 - 01 - 1.4
276,Alex Band of The Calling,San Antonio, Texas,548- 8*40-539
277,Alex Barberis,Nashville-Davidson, Tennessee,60- 7- - 355-1
278,Alex Borstein,Dallas, Texas,264- - 7- 64-- 7- 395
279,Alex Chiu,Anchorage municipality, Alaska,682- 96.6 - 6803
280,Alex Greenwald ,Corpus Christi, Texas,7 * -113487 - 01 - 1.4
281,Alice in Wonderland,Nashville-Davidson, Tennessee,722  1-- *402-2429 * 78
282,Alex Haley,Austin, Texas,7 - 39 - 7-    651-650- 7- 
283,Alex James ,Glendale, Arizona,52- - 7- 62-6- 7- 41
284,Alex Kapranos ,Louisville/Jefferson, Kentucky,6  1-4- 949 - 648
285,Alex Lifeson,Anchorage municipality, Alaska,361 -- 52- 7- -1
286,Alex Moore,Chesapeake, Virginia,201- 599-9942
287,Alex North,Orlando, Florida,-322(787)01 - 1
288,Alex Pertout,Seattle, Washington,2*40 -- 480-485- 7- 78
289,Alex Pinelli,Louisville/Jefferson, Kentucky,7431 -- 48- 7- -5- 7- 5- 7-  * 78
290,Alex Poletti,Durham, North Carolina,7 - 918 -- 88- 7- -983- 7- 
291,Alex Riel,St. Louis, Missouri,44- 992 - 6.6- 7- 3
292,Alex Sanguinetti,Orlando, Florida,589 --590-816- 7- 
293,Alex Skolnick ,Los Angeles, California,5- 7-   1-- - 7-   1 - 6-- 7- - 7- - 7-
294,Alex Sonchez,Nashville-Davidson, Tennessee,694 -- 634-8236
295,Alex Turner,Wichita, Kansas,216- 311-- 7- 0- 7- 0
296,Alex Webster,Wichita, Kansas,7 * -177787 - 01 - 1.4
297,Alex Winter,Sacramento, California,7*409- 450-543- 7-  * 78
298,Alexander Anderson,Phoenix, Arizona,7 - 298- 232-9861
299,Alexander Belyavsky,Toledo, Ohio,4- 7- - 380-4460
300,Alexander Dumas,Newark, New Jersey,811- 280-044
301,Alexander Fleming ,Minneapolis, Minnesota,7 * -985987 - 01 - 1.4
302,Alexander Graham Bell,Fresno, California,- 7- 98- 229-062- 7- 
303,Alexander Harkavy,Virginia Beach, Virginia,242 -- 445-9683
304,Alexander Julian,New Orleans, Louisiana,3- 7- 6 --519-931678
305,Alexander Kent ,North Las Vegas, Nevada,7600- 4- 7- 0-- 7- - 7- 02 * 78
306,Alexander Khalifman,Tampa, Florida,7 - 862- - 7- 86-  1-26.6
307,Alexander Kutikov ,Washington, DC,5- 7- - 918-3854
308,Alexander Luria,Colorado Springs, Colorado,7 * -419887 - 01 - 1.4
309,Alexander Mutnick,New Orleans, Louisiana,384 -- 498-33*
310,Alexander Nikolayevich Scriabin ,Jersey , New Jersey,501 -- 203-6102
311,Alexander Shulgin,North Las Vegas, Nevada,612 -- 281-9- 7- 29
312,Alexander Sokurov,Greensboro, North Carolina,942 -- 456-000378
313,Alexandra Gherard Garcia,Dallas, Texas,79- 7- 9- 598-- 7- 303 * 78
315,Alexandrina Pendatchanska,Buffalo, New York,90- 825-093- 7- 
316,Alexei Alexeevich Abrikosov,Jacksonville, Florida,412 -- 302-56- 7- 
317,Alexei Sayle,Corpus Christi, Texas,894 -- 896-5
318,Alexi Laiho ,Chandler, Arizona,33*8 -- - 7- 01-- 7- 915
321,Alfred Adler,Boise, Idaho,78- 7- 5 -- - 7- 0- 7- -26- 7- 1 * 78
322,Alfred Dreyfus,St. Petersburg, Florida,523(787)01 - 1
323,Alfred E. Neuman,Laredo, Texas,7 * -570587 - 01 - 1.4
324,Alfred Eisenstaedt,Tulsa, Oklahoma,462- 891-208- 7- 
325,Alfred G. Gilman,Los Angeles, California,855 --543-- 7- 15- 
326,Alfred Hajos,Boston, Massachusetts,54- 7-  -- 312-0380
327,Alfred Hitchcock,St. Petersburg, Florida,228- 3- 7- 9-6023
328,Alfred Kazin,Anaheim, California,292 -- 4- 7- - 7- -558078
329,Alfred Knopf,Boston, Massachusetts,76.65 -- 415-1396 * 78
330,Alfred Lion,Oakland, California,7 - 608- 412-33*5- 7- 
331,Alfred Lowenstein,Atlanta, Georgia,98 -- 899-95- 7- 4
332,Alfred Mordechai,Austin, Texas,94- 7- - 281-- 7- 99
333,Alfred Newman,Plano, Texas,241- 358-- 7- 13- 
334,Alfred Nobel ,Anchorage municipality, Alaska,834- 935-426- 7- 
335,Alfred Schnittke,Sacramento, California,938- - 7- 86-2956
336,Alfred Schutz,Buffalo, New York,326- 461-256878
337,Alfred Stieglitz,Omaha, Nebraska,7223- - 7- 98-46- 7- 2 * 78
338,Alfred Tarski,Albuquerque, New Mexico,7 - 444- 802-8680
339,Alfred Taubman,Newark, New Jersey,45- 200-39  1-3
340,Alfred Tennyson,Durham, North Carolina,361- 44 - 7-   3- 7- 9
341,Alfred Uhry,Santa Ana, California,219- 915-135- 
342,Alguff the Awful,Hialeah, Florida,341- 861-1- 7- 25
344,Ali Landry,Tampa, Florida,*409- 324-264678
345,Ali MacGraw,Chicago, Illinois,79*40- 223-3- 7- 58 * 78
346,Ali McMordie,Raleigh, North Carolina,7 - 9- 7- 8 -- 256-1226
347,Alice B. Toklas,Norfolk, Virginia,03- 423-3263
348,Alice Braga,Hialeah, Florida,800- - 7- 64-20*4
349,Alice Cooper,Philadelphia, Pennsylvania,210 -- 59- 7- -- 7- 
350,Alice Longbottom,Memphis, Tennessee,308- 863-09- 7- 5
351,Alice Miller,Omaha, Nebraska,425 -- 928-1303
352,Alice Nelson,St. Louis, Missouri,995 -- 889-498078
353,Alicia Keys,Fort Wayne, Indiana,7421- 999-3291 * 78
354,Alicia Ostriker,Indianapolis, Indiana,7 - 544- 533*-9856
355,Alicia Silverstone,El Paso, Texas,24- 323-- 7- 562
356,Alicia Spinnet,Chandler, Arizona,862- 6- 7-   1--882
357,Alicia Warrington,Garland, Texas,620 -- 364-8
359,Alison Krauss,Seattle, Washington,5- 7- 4- 349-- 7- 8- 7- 1
360,Alistair Maclean,Wichita, Kansas,7 * -104487 - 01 - 1.4
362,Alix Dobkin,Durham, North Carolina,7 - 320- 634-284- 7- 
363,All the Ronin Warriors,Mesa, Arizona,53 -- - 7- - 7- - 7- -9442
364,Alla Nazimova,Plano, Texas,318- 628-314
365,Allan Arbus,Bakersfield, California,45- 7- - 855-1- 7- 
366,Allan Arkush,Portland, Oregon,7 * -793287 - 01 - 1.4
367,Allan Clarke,Buffalo, New York,483 -- 314-3685
368,Allan Holdsworth,Garland, Texas,856- 425-5- 7- 0478
369,Allan Sherman,Boston, Massachusetts,74- 7- 1- 54- 7- -*4011 * 78
370,Allan Stewart,Colorado Springs, Colorado,7 - 651- 821-1- 7- 54
371,Allan Zavod ,Durham, North Carolina,14 -- 569-4833*
372,Allard K. Lowenstein,Sacramento, California,5- 7- 3- 816-410- 7- 
373,Allen Arbus,Greensboro, North Carolina,991- 653-5
374,Allen Collins,Colorado Springs, Colorado,804- 649-9250
375,Allen Covert,Raleigh, North Carolina,4- 7- 9 -- 433*-3638
376,Allen Funt,Charlotte, North Carolina,859- 865-3- 7- *4078
377,Allen Garfield,Glendale, Arizona,72  1-- 7- - 868 - 6- 7- 9- 7-  * 78
378,Allen Ginsberg,Raleigh, North Carolina,7 - 820- - 7- *40-0868
379,Allen Iverson,Aurora, Colorado,6.6- - 7- 98-- 7- 024
380,Allen Klein,Dallas, Texas,963 --512-0- 7- 2
381,Allen Lanier ,Omaha, Nebraska,7 * 343987 - 01 - 1.4
382,Allen McKenzie ,San Jose, California,912- - 7- 85-9- 7- 04
383,Allen Ravenstine ,St. Louis, Missouri,3- 7- 4 -- 690-054- 7- 
385,Allie DiMeco,Gilbert town, Arizona,7418 -- 329-8216 * 78
386,Allison Crowe ,Baltimore, Maryland,7 - 242- 250-842- 7- 
387,Allison Gopnik,Jacksonville, Florida,2- 7- - - 7- 23--30  1-- 7- 
388,Allison Miller,Norfolk, Virginia,886- 93  1--2  1-2
389,Allison Robertson ,Riverside, California,384- 413-1
390,Ally McBeal ,Chesapeake, Virginia,7 * -824187 - 01 - 1.4
391,Ally Sheedy,Austin, Texas,392 --5- 7- 0-58- 7- 4
392,Allyson Schwartz,Boston, Massachusetts,294- 356-886978
393,Alonso Mudarra ,Chesapeake, Virginia,75- 7- 1- 326-29- 7- 9 * 78
394,Alora Lanzillotta,Phoenix, Arizona,7 - 205 -- 515-3859
395,Alphonse Elric ,Jacksonville, Florida,- 7- 8- - 7- 44-5993
396,Alphonse Lazard,Scottsdale, Arizona,305- 932-418
397,Alphonse Mouzon,Philadelphia, Pennsylvania,525- 85 - 7-   5
398,Alphonso Johnson ,New York City, New York,530 -- 492-2220
399,Alter Esselin,Garland, Texas,5- 7- 9- 461-2583
400,Althea Gibson,Las Vegas, Nevada,682- 859-432378
402,Alvaro Jardón,Fresno, California,7 - 38- 7- - 33*4-1363
404,Alvin Lee,Raleigh, North Carolina,99- 7- - - 7-   1-9-222
405,Alvin Queen ,Hialeah, Florida,250 -- 830-9
406,Alvy Moore,Fort Wayne, Indiana,542- 622-0696
407,Alyson Hannigan,Garland, Texas,800- 5- 7-  - 7-   098- 7- 
408,Alyson Michalka,Oklahoma , Oklahoma,363- - 7- 9 - 7-   959478
409,Alyson Stoner,Mesa, Arizona,7423- 914-2393 * 78
